Name,Genus,Species,Order,Family,From Pantheria?,ActivityPeriod,APSource,Seasonality,SeasonSource,BodySizeG,BSSource,Locomotion,LocoSource,FeedingHabit,FHSource,FeedingTechnique,FTSource,Notes
Pseudastur_albicollis,Pseudastur,albicollis,Accipitriformes,Accipitridae,0,Diurnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",625,"(Mayani-Paras, et al. 2023)",Volant,"(Mayani-Paras, et al. 2023)",Carnivore,"(Mayani-Paras, et al. 2023)",Ground hunter,"(Mayani-Paras, et al. 2023)",
Psophia_crepitans,Psophia,crepitans,Gruiformes,Psophiidae,0,Diurnal,https://birdsoftheworld.org/,Resident,https://birdsoftheworld.org/,940,https://birdsoftheworld.org/,Terrestrial,https://birdsoftheworld.org/,Frugivore,https://birdsoftheworld.org/,Ground browser,https://birdsoftheworld.org/,
Puma_concolor,Puma,concolor,Carnivora,Felidae,1,Nocturnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",74500,"(Mayani-Paras, et al. 2023)",Terrestrial,"(Mayani-Paras, et al. 2023)",Carnivore,"(Mayani-Paras, et al. 2023)",Ground hunter,"(Mayani-Paras, et al. 2023)",
Ramphastos_tucanus,Ramphastos,tucanus,Piciformes,Ramphastidae,0,Diurnal,https://birdsoftheworld.org/,Resident,https://birdsoftheworld.org/,672.5,https://birdsoftheworld.org/,Arboreal,https://birdsoftheworld.org/,Omnivore,https://birdsoftheworld.org/,Arboreal browser,https://birdsoftheworld.org/,
Saguinus_graellsi,Saguinus,graellsi,Primates,Cebidae,1,Diurnal,https://animaldiversity.org/,Resident,https://animaldiversity.org/,562.5,https://animaldiversity.org/,Arboreal,https://animaldiversity.org/,Frugivore,https://animaldiversity.org/,Arboreal browser,https://animaldiversity.org/,
Saimiri_cassiquiarensis,Saimiri,cassiquiarensis,Primates,Cebidae,0,Diurnal,https://neprimateconservancy.org/humboldts-squirrel-monkey/,Resident,https://neprimateconservancy.org/humboldts-squirrel-monkey/,925,https://neprimateconservancy.org/humboldts-squirrel-monkey/,Arboreal,https://neprimateconservancy.org/humboldts-squirrel-monkey/,Omnivore,https://neprimateconservancy.org/humboldts-squirrel-monkey/,Arboreal browser,https://neprimateconservancy.org/humboldts-squirrel-monkey/,
Sus_scrofa,Sus,scrofa,Artiodactyla,Suidae,1,Cathemeral,https://animaldiversity.org/,Resident,https://animaldiversity.org/,169,https://animaldiversity.org/,Terrestrial,https://animaldiversity.org/,Omnivore,https://animaldiversity.org/,Ground browser,https://animaldiversity.org/,
Tamandua_tetradactyla,Tamandua,tetradactyla,Pilosa,Myrmecophagidae,1,Nocturnal,https://animaldiversity.org/,Resident,https://animaldiversity.org/,4500,https://animaldiversity.org/,Semi-arboreal,https://animaldiversity.org/,Insectivore,https://animaldiversity.org/,Arboreal hunter,https://animaldiversity.org/,
Tapirus_terrestris,Tapirus,terrestris,Perissodactyla,Tapiridae,1,Cathemeral,https://animaldiversity.org/,Resident,https://animaldiversity.org/,200000,https://animaldiversity.org/,Terrestrial,https://animaldiversity.org/,Herbivore,https://animaldiversity.org/,Ground browser,https://animaldiversity.org/,
Tayassu_pecari,Tayassu,pecari,Artiodactyla,Tayassuidae,1,Diurnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",38500,"(Mayani-Paras, et al. 2023)",Terrestrial,"(Mayani-Paras, et al. 2023)",Herbivore,"(Mayani-Paras, et al. 2023)",Ground browser,"(Mayani-Paras, et al. 2023)",
Tinamus_major,Tinamus,major,Tinamiformes,Tinamidae,0,Diurnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",1052,"(Mayani-Paras, et al. 2023)",Terrestrial,"(Mayani-Paras, et al. 2023)",Frugivore,"(Mayani-Paras, et al. 2023)",Ground browser,"(Mayani-Paras, et al. 2023)",
Tupinambis_cuzcoensis,Tupinambis,cuzcoensis,Squamata,Teiidae,0,Diurnal,https://www.reptilesofecuador.com/tupinambis_cuzcoensis.html,Resident,https://www.reptilesofecuador.com/tupinambis_cuzcoensis.html,975,https://www.jstor.org/stable/1447859?seq=3,Terrestrial,https://www.reptilesofecuador.com/tupinambis_cuzcoensis.html,Omnivore,https://www.reptilesofecuador.com/tupinambis_cuzcoensis.html,Ground browser,https://www.reptilesofecuador.com/tupinambis_cuzcoensis.html,"T. cuzcoensis was considered T. teguixin until 2016, so I could find no weight data on T. c. specifically; used weight data on T. teguixin (https://www.jstor.org/stable/1447859?seq=3)"
